Name,Acquried Date,Fund1,Date1,investor11,investor12,investor13,fund2,date2,investor21,investor22,investor23,fund3,date3,investor31,investor32,investor33
NAYTEV,Not Acquired,$1.3M Seed,NOV '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REMOT3.IT,Not Acquired,$2.3M Seed,OCT '14,Compound,CrunchFund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONEYLEDGER,Not Acquired,$445K Seed,OCT '14,Blackbird Ventures,Scott and Cyan Banister,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BUFFER,Not Acquired,$3.5M Series A,OCT '14,Collaborative Fund,Red Swan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROOM CHOICE,Not Acquired,$900K Seed,OCT '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRATEJOY,Not Acquired,$4M Series A,OCT '14,CRV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BREWBOT,Not Acquired,$1.5M Round,OCT '14,Bullet Time Ventures,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NUMEROUS,Not Acquired,$700K Round,OCT '14,FG Angels,Bullet Time Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CLAY.IO,Not Acquired,$550K Seed,SEP '14,DeNA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POWWOW,Not Acquired,$2.5M Series A,SEP '14,IT-Farm,OurCrowd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOOMBOOM PRINTS,Not Acquired,$400K Round,SEP '14,FG Angels,Confluence Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HITCH,Not Acquired,$600K Seed,MAR '14,Winklevoss Capital,Kima Ventures,N/A,READ PRESS,SEP '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UNDERGROUND CELLAR,Not Acquired,$1M Round,SEP '14,Barbara Corcoran,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KOINIFY,Not Acquired,$1M Seed,SEP '14,zPark Venture,IDG Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TRY.COM,Not Acquired,$2.3M Seed,SEP '14,Floodgate,Andrew McCollum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROCKBOT,Not Acquired,$196K Round,AUG '14,Detroit Venture Partners,XG Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZULI,Not Acquired,$1.7M Seed,AUG '14,Menlo Ventures,Winklevoss Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
THE HUMAN DEVELOPMENT COMPANY,Not Acquired,$1.5M Round,AUG '14,Sherpa Capital,Elliot Loh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VATLER,Not Acquired,$107K Seed,AUG '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PLUM - THE LIGHT SWITCH REINVENTED,Not Acquired,$773K Seed,AUG '14,SeedInvest,American Family Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ZIPZAP,Not Acquired,$1.1M Seed,JUL '14,Syndicates Fund,Ben Davenport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CROSSFADER,Not Acquired,$2M Seed,FEB '13,Index Ventures,GV,N/A,Seed,JUL '14,Index Ventures,Kleiner Perkins,N/A,N/A,N/A,N/A,N/A,N/A
BLINKFIRE ANALYTICS,Not Acquired,$900K Round,JUL '14,FG Angels,Plug & Play Ventures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIFX,Not Acquired,$12M Series A,JUN '14,Sequoia Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEAP.IT,Not Acquired,$1.1M Seed,JUN '14,Linseed Capital,Dundee Venture Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BUYNOW WORLDWIDE,Not Acquired,$355K Round,JUN '14,FG Angels,Invest Nebraska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRILLIANT,Not Acquired,$667K Round,MAY '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRPAIR,Not Acquired,$1M Round,APR '14,Charlie Cheever,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVELY,Not Acquired,$103K Series A,NOV '13,FundersClub,S-Cubed Capital,N/A,$13M Acquisition,APR '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RABBL,Not Acquired,$775K Seed,APR '14,FG Angels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
REALCROWD,Not Acquired,$1.6M Seed,MAR '14,Andreessen Horowitz,Y Combinator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BITVORE,Not Acquired,$4.5M Series A,MAR '14,TEEC Angel Fund,Yuri Pikover,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOXC,Not Acquired,$1.1M Seed,MAR '14,New Enterprise Associates,500 Startups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATTUNE,Not Acquired,$2M Seed,FEB '14,GV,Harrison Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ONEFOLD,Not Acquired,$4M Seed,FEB '14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOONFRYE,Not Acquired,$1.1M Seed,NOV '13,GV,Greycroft Partners,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEDIASPIKE,Not Acquired,$5.2M Series A,NOV '13,Andreessen Horowitz,GV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SQWIGGLE,Not Acquired,$1.1M Seed,AUG '13,Ludlow Ventures,Accomplice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VASTRM,Not Acquired,$1M Seed,AUG '13,Andreessen Horowitz,Y Combinator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOUNDFOCUS,Not Acquired,$1.7M Seed,FEB '13,Kapor Capital,VTF Capital,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DROPSHIP COMMERCE - DSCO,Not Acquired,$4.3M Round,FEB '13,Peterson Ventures,Kickstart Seed Fund,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
